Council,DEA,Elected,Name,Party,FirstPrefs,PartyGrouped,Category,DataCategory
Causeway Coast and Glens,Ballymoney,Y,"Wilson, Darryl",UUP,1420,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"Finlay, John",DUP,1322,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"Peacock, Leanne",Sinn Féin,1153,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"McLaughlin, Cathal",Sinn Féin,906,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"McLean, Alan",DUP,827,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"Wallace, Ivor",DUP,826,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,,"McCully, Peter",Alliance,734,AP,Other,2019 Votes
Causeway Coast and Glens,Ballymoney,Y,"McKeown, Tom",UUP,512,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,,"Blair, William",TUV,497,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,,"Stevenson, Ian Richard",Independent,220,Independent,Other,2019 Votes
Causeway Coast and Glens,Ballymoney,,"Wilson, John",TUV,217,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Ballymoney,,"Hanna, David",UKIP,117,UKIP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,Y,"Bateson, Sean",Sinn Féin,1403,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Bann,Y,"McQuillan, Adrian",DUP,1047,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,Y,"Holmes, Richard John",UUP,964,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,,"King, William",UUP,799,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,Y,"Knight-McQuillan, Michelle",DUP,781,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,Y,"Dallat O'Driscoll, Helena",SDLP,686,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,Bann,,"Cole, Sam",DUP,639,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,,"McConaghy, Charlie",Alliance,491,AP,Other,2019 Votes
Causeway Coast and Glens,Bann,,"Reid, Timmy",PUP,251,PUP,Unionist,2019 Votes
Causeway Coast and Glens,Bann,,"Collins, Elizabeth",TUV,214,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Benbradagh,Y,"McGlinchey, Sean",Sinn Féin,1574,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Benbradagh,Y,"Nicholl, Dermot",Sinn Féin,1002,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Benbradagh,Y,"Beattie, Orla",SDLP,922,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,Benbradagh,Y,"Scott, Edgar",DUP,896,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Benbradagh,Y,"McGurk, Kathleen",Sinn Féin,677,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Benbradagh,,"Brolly, Proinnsias",Aontú,655,Aontú,Nationalist,2019 Votes
Causeway Coast and Glens,Benbradagh,,"Douglas, Boyd",TUV,581,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Benbradagh,,"Carmichael, Robert Thomas",UUP,410,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Benbradagh,,"Turner, Christine",Alliance,332,AP,Other,2019 Votes
Causeway Coast and Glens,Causeway,Y,"Fielding, Mark",DUP,1276,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,Y,"McCaw, Chris",Alliance,1212,AP,Other,2019 Votes
Causeway Coast and Glens,Causeway,Y,"McKillop, Sharon",DUP,1010,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,Y,"McAuley, John",DUP,831,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,Y,"Hunter, Sandra",UUP,774,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,Y,"Hillis, Norman",UUP,758,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,,"Alexander, David",Independent,552,Independent,Other,2019 Votes
Causeway Coast and Glens,Causeway,Y,"Mulholland, Angela",SDLP,496,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,Causeway,,"Coulson, Mark",Green,331,GP,Other,2019 Votes
Causeway Coast and Glens,Causeway,,"Quigg, Cyril",TUV,325,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,,"Thompson, Emma",Sinn Féin,267,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Causeway,,"Moore, Stewart",TUV,167,TUV,Unionist,2019 Votes
Causeway Coast and Glens,Causeway,,"Hanna, Rebecca",UKIP,132,UKIP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"Watton, Russell",PUP,1325,PUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"Quigley, Stephanie",SDLP,983,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"Anderson, Philip",DUP,901,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"Duddy, George",DUP,866,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,,"Clarke, Trevor",DUP,769,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"Boyle, Yvonne",Alliance,732,AP,Other,2019 Votes
Causeway Coast and Glens,Coleraine,Y,"McCandless, William",UUP,633,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,,"Archibald, Ciaran",Sinn Féin,417,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Coleraine,,"Wisener, John",UUP,292,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,,"Harding, David",Conservatives,112,Conservatives,Unionist,2019 Votes
Causeway Coast and Glens,Coleraine,,"Ranaghan, Amanda",UKIP,101,UKIP,Unionist,2019 Votes
Causeway Coast and Glens,Limavady,Y,"Robinson, Alan",DUP,1498,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Limavady,Y,"Chivers, Brenda",Sinn Féin,1034,SF,Nationalist,2019 Votes
Causeway Coast and Glens,Limavady,Y,"McCorkell, James",DUP,654,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Limavady,,"Hayward, Kevin",Alliance,557,AP,Other,2019 Votes
Causeway Coast and Glens,Limavady,Y,"Schenning, Ashleen",SDLP,519,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,Limavady,,"Kennedy, Raymond",UUP,405,UUP,Unionist,2019 Votes
Causeway Coast and Glens,Limavady,Y,"Callan, Aaron",DUP,385,DUP,Unionist,2019 Votes
Causeway Coast and Glens,Limavady,,"Brolly, Francie",Aontú,337,Aontú,Nationalist,2019 Votes
Causeway Coast and Glens,Limavady,,"Cartwright, Colin",TUV,176,TUV,Unionist,2019 Votes
Causeway Coast and Glens,The Glens,Y,"Laverty, Ambrose Martin",Independent,1267,Independent,Other,2019 Votes
Causeway Coast and Glens,The Glens,Y,"McShane, Cara",Sinn Féin,1102,SF,Nationalist,2019 Votes
Causeway Coast and Glens,The Glens,Y,"McMullan, Oliver",Sinn Féin,1097,SF,Nationalist,2019 Votes
Causeway Coast and Glens,The Glens,Y,"McKillop, Margaret Anne",SDLP,1080,SDLP,Nationalist,2019 Votes
Causeway Coast and Glens,The Glens,,"Kennedy, Bill",DUP,843,DUP,Unionist,2019 Votes
Causeway Coast and Glens,The Glens,Y,"Baird, Joan",UUP,758,UUP,Unionist,2019 Votes
Causeway Coast and Glens,The Glens,,"Mulholland, Kieran James",Sinn Féin,589,SF,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"Dobbins, Angela",SDLP,1392,SDLP,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"Tierney, Brian",SDLP,1235,SDLP,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"Farrell, Rory",SDLP,1170,SDLP,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"McCloskey, Anne",Aontú,1032,Aontú,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"Duffy, Sandra",Sinn Féin,899,SF,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,Y,"Mellon, Aileen",Sinn Féin,848,SF,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,,"Crilly, Nuala",People Before Profit Alliance,826,PBP,Socialist,2019 Votes
Derry and Strabane,Ballyarnett,,"McKnight, Caoimhe",Sinn Féin,656,SF,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,,"Robinson, Warren",Independent Nationalist,639,Independent Nationalist,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,,"McLaughlin, Neil",Sinn Féin,538,SF,Nationalist,2019 Votes
Derry and Strabane,Ballyarnett,,"McCloskey, Danny",Alliance,340,AP,Other,2019 Votes
Derry and Strabane,Derg,Y,"Hussey, Derek",UUP,1267,UUP,Unionist,2019 Votes
Derry and Strabane,Derg,Y,"Kerrigan, Keith",DUP,1090,DUP,Unionist,2019 Votes
Derry and Strabane,Derg,Y,"McHugh, Ruairi",Sinn Féin,1086,SF,Nationalist,2019 Votes
Derry and Strabane,Derg,Y,"McGuire, Kieran",Sinn Féin,1075,SF,Nationalist,2019 Votes
Derry and Strabane,Derg,Y,"Hunter, Cara",SDLP,1032,SDLP,Nationalist,2019 Votes
Derry and Strabane,Derg,,"McHugh, Maoliosa",Sinn Féin,798,SF,Nationalist,2019 Votes
Derry and Strabane,Derg,,"Kerrigan, Thomas",DUP,771,DUP,Unionist,2019 Votes
Derry and Strabane,Derg,,"Patton, Andy",Independent,735,Independent,Other,2019 Votes
Derry and Strabane,Derg,,"Murray, Anne",Alliance,150,AP,Other,2019 Votes
Derry and Strabane,Faughan,Y,"Warke, Graham",DUP,1050,DUP,Unionist,2019 Votes
Derry and Strabane,Faughan,Y,"McCready, Ryan",DUP,940,DUP,Unionist,2019 Votes
Derry and Strabane,Faughan,Y,"Fleming, Paul",Sinn Féin,854,SF,Nationalist,2019 Votes
Derry and Strabane,Faughan,Y,"Ferguson, Rachael",Alliance,783,AP,Other,2019 Votes
Derry and Strabane,Faughan,,"Hughes, Paul Thomas",Independent,733,Independent,Other,2019 Votes
Derry and Strabane,Faughan,,"Jamieson, William",UUP,710,UUP,Unionist,2019 Votes
Derry and Strabane,Faughan,,"Stevenson, Brenda",SDLP,693,SDLP,Nationalist,2019 Votes
Derry and Strabane,Faughan,Y,"McKeever, Jim",SDLP,565,SDLP,Nationalist,2019 Votes
Derry and Strabane,Faughan,,"Hastings, Gus",SDLP,491,SDLP,Nationalist,2019 Votes
Derry and Strabane,Faughan,,"Heaney, Conor",Sinn Féin,324,SF,Nationalist,2019 Votes
Derry and Strabane,Foyleside,Y,"Durkan, Mary Louise",SDLP,1231,SDLP,Nationalist,2019 Votes
Derry and Strabane,Foyleside,Y,"Cusack, Shauna",SDLP,1129,SDLP,Nationalist,2019 Votes
Derry and Strabane,Foyleside,Y,"Harkin, Shaun",People Before Profit Alliance,977,PBP,Socialist,2019 Votes
Derry and Strabane,Foyleside,Y,"Cooper, Michael",Sinn Féin,888,SF,Nationalist,2019 Votes
Derry and Strabane,Foyleside,Y,"Carr, Sean",Independent Nationalist,822,Independent Nationalist,Nationalist,2019 Votes
Derry and Strabane,Foyleside,,"Seenoi-Barr, Lilian",SDLP,721,SDLP,Nationalist,2019 Votes
Derry and Strabane,Foyleside,,"McGinley, Eric",Sinn Féin,653,SF,Nationalist,2019 Votes
Derry and Strabane,Foyleside,,"Fleming, Hayleigh",Sinn Féin,632,SF,Nationalist,2019 Votes
Derry and Strabane,Foyleside,,"Doherty, John",Alliance,305,AP,Other,2019 Votes
Derry and Strabane,Sperrin,Y,"Bresland, Allan",DUP,1156,DUP,Unionist,2019 Votes
Derry and Strabane,Sperrin,Y,"Boyle, Michaela",Sinn Féin,1153,SF,Nationalist,2019 Votes
Derry and Strabane,Sperrin,Y,"Gallagher, Paul 'Gags'",Independent,1106,Independent,Other,2019 Votes
Derry and Strabane,Sperrin,Y,"Barr, Raymond",Independent,920,Independent,Other,2019 Votes
Derry and Strabane,Sperrin,Y,"Devenney, Maurice",DUP,899,DUP,Unionist,2019 Votes
Derry and Strabane,Sperrin,Y,"Barr, Jason",SDLP,832,SDLP,Nationalist,2019 Votes
Derry and Strabane,Sperrin,,"Edwards, Steven",SDLP,794,SDLP,Nationalist,2019 Votes
Derry and Strabane,Sperrin,Y,"Kelly, Dan",Sinn Féin,756,SF,Nationalist,2019 Votes
Derry and Strabane,Sperrin,,"O hOisin, Cathal",Sinn Féin,740,SF,Nationalist,2019 Votes
Derry and Strabane,Sperrin,,"McMahon, Brian",Sinn Féin,731,SF,Nationalist,2019 Votes
Derry and Strabane,Sperrin,,"Kelly, Patsy",Independent,595,Independent,Other,2019 Votes
Derry and Strabane,Sperrin,,"McKane, Andy",UUP,530,UUP,Unionist,2019 Votes
Derry and Strabane,Sperrin,,"Moore, Scott",Alliance,437,AP,Other,2019 Votes
Derry and Strabane,Sperrin,,"McHenry, Pauline",Independent,128,Independent,Other,2019 Votes
Derry and Strabane,Sperrin,,"French, Corey",Independent,104,Independent,Other,2019 Votes
Derry and Strabane,The Moor,Y,"Donnelly, Gary",Independent Nationalist,1374,Independent Nationalist,Nationalist,2019 Votes
Derry and Strabane,The Moor,Y,"Boyle, John",SDLP,1082,SDLP,Nationalist,2019 Votes
Derry and Strabane,The Moor,Y,"McCann, Eamon",People Before Profit Alliance,1035,PBP,Socialist,2019 Votes
Derry and Strabane,The Moor,Y,"Logue, Patricia",Sinn Féin,778,SF,Nationalist,2019 Votes
Derry and Strabane,The Moor,Y,"Burke, Tina",Sinn Féin,738,SF,Nationalist,2019 Votes
Derry and Strabane,The Moor,,"Campbell, Kevin",Sinn Féin,712,SF,Nationalist,2019 Votes
Derry and Strabane,The Moor,,"Breslin, Cathy",SDLP,669,SDLP,Nationalist,2019 Votes
Derry and Strabane,The Moor,,"Duddy, Sharon",Sinn Féin,594,SF,Nationalist,2019 Votes
Derry and Strabane,The Moor,,"Doyle, Emmet",Independent Nationalist,496,Independent Nationalist,Nationalist,2019 Votes
Derry and Strabane,The Moor,,"McMorris, Niree",DUP,148,DUP,Unionist,2019 Votes
Derry and Strabane,The Moor,,"Cavanagh, Colm Anthony",Alliance,122,AP,Other,2019 Votes
Derry and Strabane,Waterside,Y,"Guy, Darren Ross",UUP,1589,UUP,Unionist,2019 Votes
Derry and Strabane,Waterside,Y,"McLaughlin, Sinead",SDLP,1483,SDLP,Nationalist,2019 Votes
Derry and Strabane,Waterside,Y,"McClintock, Hillary",DUP,1250,DUP,Unionist,2019 Votes
Derry and Strabane,Waterside,Y,"Reilly, Martin",SDLP,939,SDLP,Nationalist,2019 Votes
Derry and Strabane,Waterside,Y,"Ramsey, David",DUP,839,DUP,Unionist,2019 Votes
Derry and Strabane,Waterside,Y,"Jackson, Christopher",Sinn Féin,825,SF,Nationalist,2019 Votes
Derry and Strabane,Waterside,,"McLaughlin, Sharon",Sinn Féin,784,SF,Nationalist,2019 Votes
Derry and Strabane,Waterside,,"Thompson, Drew",DUP,780,DUP,Unionist,2019 Votes
Derry and Strabane,Waterside,,"O'Neill, Maeve",People Before Profit Alliance,752,PBP,Socialist,2019 Votes
Derry and Strabane,Waterside,Y,"McKinney, Philip",Alliance,715,AP,Other,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"Elliott, Keith",DUP,1161,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"Blake, Paul",SDLP,955,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"Maguire, Tommy",Sinn Féin,946,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Enniskillen,,"Coyle, Debbie",Sinn Féin,761,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"Irvine, Robert",UUP,753,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"O'Cofaigh, Donal",CCLA,720,Other Socialist,Socialist,2019 Votes
Fermanagh and Omagh,Enniskillen,Y,"Thornton, Howard",UUP,651,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Enniskillen,,"Crawford, Donald",TUV,492,TUV,Unionist,2019 Votes
Fermanagh and Omagh,Enniskillen,,"Wiggins, Simon",DUP,340,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Enniskillen,,"Beaumont, Matthew",Independent,310,Independent,Other,2019 Votes
Fermanagh and Omagh,Enniskillen,,"Coleman, Debbie",Green,136,GP,Other,2019 Votes
Fermanagh and Omagh,Erne East,Y,"Robinson, Paul",DUP,1382,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne East,Y,"Warrington, Victor",UUP,1352,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne East,Y,"McCluskey, John",Independent,1286,Independent,Other,2019 Votes
Fermanagh and Omagh,Erne East,Y,"Greene, Sheamus",Sinn Féin,1032,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne East,Y,"McPhillips, Garbhan",SDLP,839,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Erne East,Y,"O'Reilly, Thomas",Sinn Féin,829,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne East,,"Hayes, Noeleen",Sinn Féin,738,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne East,,"McCaffrey, Brian",Sinn Féin,620,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne East,,"Wheeler, Caroline Mary",Independent,204,Independent,Other,2019 Votes
Fermanagh and Omagh,Erne East,,"McHugh, Gerry",Aontú,174,Aontú,Nationalist,2019 Votes
Fermanagh and Omagh,Erne North,Y,"Armstrong, Diana",UUP,1186,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne North,Y,"Currie, Siobhan",Sinn Féin,1055,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne North,Y,"Coyle, John",SDLP,911,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Erne North,,"Feely, John",Sinn Féin,769,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne North,,"Mahon, David",DUP,732,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne North,Y,"Armstrong, Deborah",DUP,668,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne North,Y,"McClaughry, John",UUP,630,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne North,,"Elliott, Alex",TUV,465,TUV,Unionist,2019 Votes
Fermanagh and Omagh,Erne North,,"Little, Diane",Alliance,413,AP,Other,2019 Votes
Fermanagh and Omagh,Erne North,,"Jennings, Lewis",DVP,20,Other,Unionist,2019 Votes
Fermanagh and Omagh,Erne West,Y,"Baird, Alex",UUP,1333,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne West,Y,"Feely, Anthony",Sinn Féin,1208,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne West,Y,"Swift, Bernice",Independent Nationalist,1159,Independent Nationalist,Nationalist,2019 Votes
Fermanagh and Omagh,Erne West,Y,"McCaffrey, Chris",Sinn Féin,1136,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne West,,"Leonard, Fionnuala",Sinn Féin,879,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Erne West,Y,"Gannon, Adam",SDLP,611,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Erne West,,"Johnston, Carol",DUP,547,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Erne West,,"Armstrong, Trevor",Independent,512,Independent,Other,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"Kelly, Padraigin",Sinn Féin,995,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"Wilson, Bert",UUP,979,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"Kelly, Catherine",Sinn Féin,964,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,,"Managh, James",DUP,931,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"McAleer, Emmet",Independent,897,Independent,Other,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"Clarke, Sean",Sinn Féin,889,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,Y,"Donnelly, Sean",Sinn Féin,778,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,,"McGrath, Bernard",SDLP,598,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,,"Shields, Rosemarie",Aontú,464,Aontú,Nationalist,2019 Votes
Fermanagh and Omagh,Mid Tyrone,,"Bullick, Richard",Alliance,306,AP,Other,2019 Votes
Fermanagh and Omagh,Mid Tyrone,,"McColgan, Kevin",Sinn Féin,287,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,Y,"Thompson, Errol",DUP,970,DUP,Unionist,2019 Votes
Fermanagh and Omagh,Omagh,Y,"McElduff, Barry",Sinn Féin,900,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,Y,"Deehan, Josephine Anne",Independent,728,Independent,Other,2019 Votes
Fermanagh and Omagh,Omagh,Y,"Smyth, Christopher",UUP,633,UUP,Unionist,2019 Votes
Fermanagh and Omagh,Omagh,Y,"Donnelly, Stephen",Alliance,616,AP,Other,2019 Votes
Fermanagh and Omagh,Omagh,Y,"Fitzgerald, Anne Marie",Sinn Féin,589,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"McColgan, Marty",Sinn Féin,509,SF,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"McKeown, Jacinta",SDLP,258,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"Hawkes, Lee",SDLP,256,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"McAnespy, Sorcha",Independent Nationalist,194,Independent Nationalist,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"Swift, Margaret",Aontú,182,Aontú,Nationalist,2019 Votes
Fermanagh and Omagh,Omagh,,"Glass, Susan",Green,141,GP,Other,2019 Votes
Fermanagh and Omagh,Omagh,,"Donnelly, Joanne",Independent,128,Independent,Other,2019 Votes
Fermanagh and Omagh,Omagh,,"Chittick, Charles",TUV,115,TUV,Unionist,2019 Votes
Fermanagh and Omagh,Omagh,,"Brown, Barry",CISTA,101,Other,Other,2019 Votes
Fermanagh and Omagh,Omagh,,"Convey, Will",Independent,43,Independent,Other,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"Buchanan, Mark",DUP,1546,DUP,Unionist,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"Rainey, Allan",UUP,1095,UUP,Unionist,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"Garrity, Mary",SDLP,1047,SDLP,Nationalist,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"Campbell, Glenn",Sinn Féin,983,SF,Nationalist,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"McCann, Stephen",Sinn Féin,839,SF,Nationalist,2019 Votes
Fermanagh and Omagh,West Tyrone,Y,"Donnelly, Ann-Marie",Sinn Féin,752,SF,Nationalist,2019 Votes
Fermanagh and Omagh,West Tyrone,,"Donnelly, Frankie",Sinn Féin,653,SF,Nationalist,2019 Votes
Fermanagh and Omagh,West Tyrone,,"Cowan, Fia",Alliance,390,AP,Other,2019 Votes
Fermanagh and Omagh,West Tyrone,,"McCrory, Cathal",Aontú,242,Aontú,Nationalist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Gregg, Martin",Alliance,1212,AP,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Skillen, Sharon",DUP,1174,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Morrow, Tim",Alliance,936,AP,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Drysdale, David",DUP,849,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Laverty, John",DUP,813,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,Y,"Legge, Hazel",UUP,723,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,,"Jeffers, Tommy",DUP,638,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh East,,"Girvin, Andrew",TUV,637,TUV,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Eastwood, Sorcha",Alliance,1629,AP,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Anderson, Nathan",DUP,1503,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Guy, Michelle",Alliance,1236,AP,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Carlin, Ryan",Sinn Féin,1069,SF,Nationalist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Gallen, John",SDLP,975,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Lee, Simon",Green,648,GP,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh South,Y,"Henderson, Michael",UUP,628,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,,"McCarthy, Rachael",SDLP,463,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,,"Elliott, Jason",DUP,335,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,,"Rice, Geraldine",Independent,237,Independent,Other,2019 Votes
Lisburn and Castlereagh,Castlereagh South,,"Kamble, Vasundhara",DUP,208,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Castlereagh South,,"Girvin, Nicola",TUV,146,TUV,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,Y,"McIntyre, Aaron",Alliance,1318,AP,Other,2019 Votes
Lisburn and Castlereagh,Downshire East,Y,"Gowan, Andrew",DUP,1133,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,Y,"Baird, James",UUP,950,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,Y,"Mackin, Uel",DUP,905,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,Y,"Swan, Alex",UUP,726,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,,"Gray, Janet",DUP,721,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire East,,"Beckett, Owen",SDLP,422,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Downshire West,Y,"Gawith, Owen",Alliance,1616,AP,Other,2019 Votes
Lisburn and Castlereagh,Downshire West,Y,"McCready, Caleb",DUP,1012,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire West,Y,"Palmer, John",UUP,915,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire West,Y,"Ewart, Allan",DUP,670,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire West,Y,"Dillon, Jim",UUP,667,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire West,,"Curry, Vince",DUP,647,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Downshire West,,"Crone, Morgan",SDLP,308,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Downshire West,,"Robinson, Luke",Green,230,GP,Other,2019 Votes
Lisburn and Castlereagh,Downshire West,,"Johnston, Neil",Conservatives,169,Conservatives,Unionist,2019 Votes
Lisburn and Castlereagh,Killultagh,Y,"Honeyford, David",Alliance,1524,AP,Other,2019 Votes
Lisburn and Castlereagh,Killultagh,Y,"Beckett, Thomas",DUP,1006,DUP,Unionist,2019 Votes
